Time(year-month-day h:m:s),Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0,0,0,-11.7,930.5 ,39.1,0.00 
2019-01-01 00:15:00,0,0,0,-11.8,930.5 ,39.3,0.00 
2019-01-01 00:30:00,0,0,0,-11.4,930.5 ,39,0.00 
2019-01-01 00:45:00,0,0,0,-11.5,930.5 ,38,0.00 
2019-01-01 01:00:00,0,0,0,-11.5,930.4 ,38.9,0.00 
2019-01-01 01:15:00,0,0,0,-11.8,930.1 ,39.6,0.00 
2019-01-01 01:30:00,0,0,0,-11.4,930.0 ,39.4,0.00 
2019-01-01 01:45:00,0,0,0,-10.7,930.0 ,37.5,0.00 
2019-01-01 02:00:00,0,1,0,-10.9,929.8 ,37.6,0.00 
2019-01-01 02:15:00,0,0,0,-10.9,929.8 ,38.2,0.00 
2019-01-01 02:30:00,0,1,0,-11.1,929.6 ,38.7,0.00 
2019-01-01 02:45:00,0,0,0,-10.1,929.5 ,38.9,0.00 
2019-01-01 03:00:00,0,1,0,-10.5,929.5 ,38.9,0.00 
2019-01-01 03:15:00,0,0,0,-11.1,929.7 ,40.2,0.00 
2019-01-01 03:30:00,0,1,0,-11.3,929.5 ,40.5,0.00 
2019-01-01 03:45:00,0,0,0,-11,929.6,40.7,0.00 
2019-01-01 04:00:00,0,1,0,-11.6,929.9,41.4,0.00 
2019-01-01 04:15:00,0,0,0,-11.3,929.7,42,0.00 
2019-01-01 04:30:00,0,1,0,-11.3,929.6,42.4,0.00 
2019-01-01 04:45:00,0,0,0,-11.4,929.5,42.4,0.00 
2019-01-01 05:00:00,0,1,0,-11.7,929.5,42.8,0.00 
2019-01-01 05:15:00,0,0,0,-11.1,929.3,43.7,0.00 
2019-01-01 05:30:00,0,0,0,-10.7,929.3,42.6,0.00 
2019-01-01 05:45:00,0,1,0,-11.4,929.3,43.4,0.00 
2019-01-01 06:00:00,0,0,0,-11.5,929.1,44.6,0.00 
2019-01-01 06:15:00,0,1,0,-11.7,929,45.1,0.00 
2019-01-01 06:30:00,0,0,0,-11.6,928.8,45,0.00 
2019-01-01 06:45:00,0,1,0,-12.2,928.7,45.8,0.00 
2019-01-01 07:00:00,0,0,0,-12.7,928.7,47.4,0.00 
2019-01-01 07:15:00,0,0,0,-12.7,928.8,47.1,0.00 
2019-01-01 07:30:00,0,0,0,-12.6,929,46.9,0.00 
2019-01-01 07:45:00,0,1,0,-13,929,48.1,0.00 
2019-01-01 08:00:00,0,0,0,-12.7,928.9,48.3,0.00 
2019-01-01 08:15:00,0,0,0,-12.7,929,46.9,0.00 
2019-01-01 08:30:00,0,0,0,-12.5,929.1,47.1,0.00 
2019-01-01 08:45:00,0,0,0,-12.5,929.2,46.9,0.00 
2019-01-01 09:00:00,2,0,1,-12.7,929.3,47.1,0.00 
2019-01-01 09:15:00,14,1,7,-12.5,929.3,46.8,0.24 
2019-01-01 09:30:00,63,12,20,-12.7,929.6,46.9,0.86 
2019-01-01 09:45:00,92,11,34,-13.3,929.5,48.2,2.38 
2019-01-01 10:00:00,237,36,64,-12.9,929.6,48.4,4.80 
2019-01-01 10:15:00,279,35,91,-12.9,929.5,47.4,8.13 
2019-01-01 10:30:00,444,54,137,-12.5,929.1,47,15.16 
2019-01-01 10:45:00,435,49,135,-12,928.9,45.5,16.66 
2019-01-01 11:00:00,415,29,153,-11.6,928.7,44.8,19.28 
2019-01-01 11:15:00,486,32,187,-10.6,928.3,42.8,21.89 
2019-01-01 11:30:00,598,37,237,-10,928,41,25.87 
2019-01-01 11:45:00,661,37,270,-8.6,927.8,37.4,28.31 
2019-01-01 12:00:00,735,36,318,-8.4,927.5,35.7,30.67 
2019-01-01 12:15:00,743,35,322,-7.6,927.2,33.8,31.13 
2019-01-01 12:30:00,786,32,355,-7.8,926.7,34.1,33.83 
2019-01-01 12:45:00,793,27,366,-7.7,926.4,34,34.64 
2019-01-01 13:00:00,776,22,364,-7.3,926.3,33.8,34.80 
2019-01-01 13:15:00,823,20,394,-7.1,926.1,32.5,36.77 
2019-01-01 13:30:00,827,20,411,-7.1,925.9,31.8,35.82 
2019-01-01 13:45:00,818,18,428,-6.7,925.5,30.9,34.67 
2019-01-01 14:00:00,746,17,363,-6.8,925.4,31.7,33.53 
2019-01-01 14:15:00,714,15,342,-6.8,925.2,30.4,32.00 
2019-01-01 14:30:00,701,14,329,-6.4,924.9,29.1,30.97 
2019-01-01 14:45:00,753,14,343,-5,924.6,26.7,32.98 
2019-01-01 15:00:00,680,15,304,-5.2,924.3,25.6,30.03 
2019-01-01 15:15:00,519,13,222,-5.5,924.2,26.6,27.34 
2019-01-01 15:30:00,678,13,285,-5.7,924.1,27,31.53 
2019-01-01 15:45:00,475,10,193,-4.9,923.9,26.6,23.20 
2019-01-01 16:00:00,547,12,193,-5.4,924,26.7,24.12 
2019-01-01 16:15:00,445,12,143,-5.3,923.9,26.4,19.04 
2019-01-01 16:30:00,458,12,148,-5.5,924,26.7,20.12 
2019-01-01 16:45:00,313,10,110,-5.5,924,26.5,11.20 
2019-01-01 17:00:00,152,6,77,-5.9,923.9,26.9,5.64 
2019-01-01 17:15:00,92,3,58,-6.4,924.2,28,3.34 
2019-01-01 17:30:00,46,1,41,-6.8,924.6,29.1,1.59 
2019-01-01 17:45:00,19,1,17,-7,924.9,29.5,0.36 
2019-01-01 18:00:00,10,1,8,-7.3,925.1,30,0.03 
2019-01-01 18:15:00,2,1,2,-7.6,925.1,31.9,0.00 
2019-01-01 18:30:00,0,0,0,-7.9,925.1,33.7,0.00 
2019-01-01 18:45:00,0,0,0,-7.9,925.2,34.1,0.00 
2019-01-01 19:00:00,0,1,0,-7.9,925.3,33.7,0.00 
2019-01-01 19:15:00,0,0,0,-8.4,925.2,34,0.00 
2019-01-01 19:30:00,0,0,0,-8.1,925.3,34,0.00 
2019-01-01 19:45:00,0,0,0,-8.2,925.3,34.3,0.00 
