Time(year-month-day h:m:s),Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horicontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0,0,0,-9.62,872.8 ,47.94,0.27 
2019-01-01 00:15:00,0,0,0,-9.96,872.8 ,48.57,0.27 
2019-01-01 00:30:00,0,0,0,-10.16,872.8 ,49.04,0.27 
2019-01-01 00:45:00,0,0,0,-10.37,872.8 ,49.6,0.27 
2019-01-01 01:00:00,0,0,0,-10.49,872.8 ,49.91,0.27 
2019-01-01 01:15:00,0,0,0,-10.38,872.9 ,50.34,0.27 
2019-01-01 01:30:00,0,0,0,-10.37,855.6 ,49.28,0.27 
2019-01-01 01:45:00,0,0,0,-10.74,873.0 ,50.63,0.27 
2019-01-01 02:00:00,0,0,0,-10.54,873.0 ,51.01,0.27 
2019-01-01 02:15:00,0,0,0,-10.6,873.0 ,50.49,0.28 
2019-01-01 02:30:00,0,0,0,-10.94,872.8 ,51.04,0.28 
2019-01-01 02:45:00,0,0,0,-11.11,872.9 ,51.54,0.28 
2019-01-01 03:00:00,0,0,0,-11.59,872.8 ,51.93,0.27 
2019-01-01 03:15:00,0,0,0,-11.38,872.8 ,52.62,0.27 
2019-01-01 03:30:00,0,0,0,-11.53,872.7 ,52.77,0.27 
2019-01-01 03:45:00,0,0,0,-12.07,872.75,53.11,0.27 
2019-01-01 04:00:00,0,0,0,-11.83,872.65,53.5,0.28 
2019-01-01 04:15:00,0,0,0,-12.01,872.59,53.63,0.28 
2019-01-01 04:30:00,0,0,0,-12,872.56,53.94,0.28 
2019-01-01 04:45:00,0,0,0,-11.55,872.54,54.11,0.28 
2019-01-01 05:00:00,0,0,0,-11.49,872.52,53.69,0.28 
2019-01-01 05:15:00,0,0,0,-11.42,872.46,53.4,0.28 
2019-01-01 05:30:00,0,0,0,-11.48,872.49,53.63,0.28 
2019-01-01 05:45:00,0,0,0,-11.55,872.15,53.29,0.28 
2019-01-01 06:00:00,0,0,0,-12.12,872.02,54.23,0.28 
2019-01-01 06:15:00,0,0,0,-11.6,871.78,54.06,0.28 
2019-01-01 06:30:00,0,0,0,-11.97,871.61,54.65,0.28 
2019-01-01 06:45:00,0,0,0,-11.87,871.51,54.46,0.27 
2019-01-01 07:00:00,0,0,0,-12.22,871.19,54.62,0.27 
2019-01-01 07:15:00,0,0,0,-12.12,871.06,55.08,0.28 
2019-01-01 07:30:00,0,0,0,-12.55,870.85,55.51,0.28 
2019-01-01 07:45:00,0,0,0,-12.53,870.54,55.83,0.28 
2019-01-01 08:00:00,0,0,0,-12.98,870.61,55.98,0.27 
2019-01-01 08:15:00,0,0,0,-13.42,870.6,56.55,0.28 
2019-01-01 08:30:00,0,0,0,-13.5,870.86,57.64,0.27 
2019-01-01 08:45:00,0,0,0,-13.03,871.11,57.12,0.27 
2019-01-01 09:00:00,0,0,0,-12.8,871.27,58.02,0.27 
2019-01-01 09:15:00,0,0,0,-13.05,871.46,58.51,0.27 
2019-01-01 09:30:00,0,0,0,-13.05,871.65,58.71,0.28 
2019-01-01 09:45:00,0,0,0,-13.04,871.85,58.12,0.27 
2019-01-01 10:00:00,0,0,0,-12.91,871.94,57.79,0.64 
2019-01-01 10:15:00,10.96,7.91,6.57,-12.83,872.08,57.8,3.22 
2019-01-01 10:30:00,33.32,24.04,20.5,-12.79,872.18,57.73,7.28 
2019-01-01 10:45:00,64.77,46.73,41.97,-11.99,872.25,57.1,11.09 
2019-01-01 11:00:00,86.91,62.7,58.2,-11.14,872.24,55.78,12.62 
2019-01-01 11:15:00,106.44,76.8,72.71,-10.14,872.09,54.03,17.95 
2019-01-01 11:30:00,142.05,102.49,97.41,-9.26,871.72,51.7,31.22 
2019-01-01 11:45:00,206.83,149.23,141.49,-8.38,871.46,49.24,43.71 
2019-01-01 12:00:00,243.83,175.92,167.07,-7.12,871.08,46.19,51.81 
2019-01-01 12:15:00,210.9,152.16,190.26,-6.09,870.61,42.76,59.60 
2019-01-01 12:30:00,328.75,237.2,176.47,-5.14,870.09,39.78,63.07 
2019-01-01 12:45:00,291.77,210.51,198.99,-4.79,869.69,37.44,65.01 
2019-01-01 13:00:00,398.64,287.62,281.22,-4.38,869.3,36.65,77.77 
2019-01-01 13:15:00,409.67,295.58,292.04,-3.99,869.02,35.09,80.22 
2019-01-01 13:30:00,414.97,299.4,299.4,-3.79,868.67,34.05,82.79 
2019-01-01 13:45:00,427.77,308.64,309.09,-3.59,868.35,33.69,85.34 
2019-01-01 14:00:00,442.39,319.18,319.39,-3.25,867.92,32.84,87.03 
2019-01-01 14:15:00,453.83,327.44,326.93,-3.05,867.81,30.96,87.74 
2019-01-01 14:30:00,459.5,331.53,331.36,-3.1,867.57,30.25,87.88 
2019-01-01 14:45:00,457.36,329.99,330.66,-2.64,867.43,29.63,85.96 
2019-01-01 15:00:00,451.74,325.93,326.2,-2.27,867.28,29.25,84.28 
2019-01-01 15:15:00,445.45,321.39,320.58,-1.8,866.9,28.59,81.61 
2019-01-01 15:30:00,434.28,313.33,312.2,-2.11,866.8,28.8,80.28 
2019-01-01 15:45:00,425.62,307.08,306.21,-1.26,866.44,27.72,77.61 
2019-01-01 16:00:00,402.05,290.08,288.85,-1.09,866.1,27.02,74.04 
2019-01-01 16:15:00,388.11,280.02,276.76,-1.23,865.96,27.24,70.25 
2019-01-01 16:30:00,361.03,260.49,255.49,-0.82,865.75,26.88,64.83 
2019-01-01 16:45:00,336.36,242.69,235.54,-1.31,865.47,27.95,59.55 
2019-01-01 17:00:00,313.27,226.03,217.19,-1.04,865.22,26.99,56.39 
2019-01-01 17:15:00,274.91,198.35,187.84,-1.13,865.04,27.22,48.49 
2019-01-01 17:30:00,248.35,179.18,167.11,-1.17,864.79,27.08,43.06 
2019-01-01 17:45:00,217.5,156.93,145.26,-1.12,864.5,27.06,32.99 
2019-01-01 18:00:00,181.14,130.69,120.3,-1.35,864.36,27.59,18.66 
2019-01-01 18:15:00,90.85,65.55,58.48,-1.92,864.41,28.83,11.64 
2019-01-01 18:30:00,100.09,72.22,63.76,-2.12,864.57,29.47,9.62 
2019-01-01 18:45:00,51.29,37.01,30.98,-2.52,864.62,30.31,4.68 
2019-01-01 19:00:00,26.5,19.12,15.05,-3.04,864.81,32.12,2.31 
2019-01-01 19:15:00,10.95,7.9,5.84,-3.57,865.02,33.88,0.59 
2019-01-01 19:30:00,0,0,0,-4.22,865.15,35.62,0.29 
2019-01-01 19:45:00,0,0,0,-4.77,865.41,37.28,0.27 
2019-01-01 20:00:00,0,0,0,-5.13,865.5,38.18,0.27 
2019-01-01 20:15:00,0,0,0,-5.61,865.73,38.6,0.27 
2019-01-01 20:30:00,0,0,0,-6.25,865.83,40.19,0.28 
2019-01-01 20:45:00,0,0,0,-6.51,865.92,41.16,0.28 
2019-01-01 21:00:00,0,0,0,-6.69,865.93,41.37,0.28 
2019-01-01 21:15:00,0,0,0,-6.96,866.01,41.74,0.26 
2019-01-01 21:30:00,0,0,0,-6.94,866,42.18,0.26 
2019-01-01 21:45:00,0,0,0,-6.88,866.2,42.3,0.26 
2019-01-01 22:00:00,0,0,0,-6.98,866.25,42.25,0.26 
2019-01-01 22:15:00,0,0,0,-7.11,866.24,42.44,0.26 
2019-01-01 22:30:00,0,0,0,-6.64,866.3,42.27,0.26 
2019-01-01 22:45:00,0,0,0,-6.67,866.25,42.1,0.26 
2019-01-01 23:00:00,0,0,0,-7.8,866.25,42.9,0.26 
2019-01-01 23:15:00,0,0,0,-8.36,866.33,44.64,0.26 
2019-01-01 23:30:00,0,0,0,-8.33,866.46,46.01,0.27 
2019-01-01 23:45:00,0,0,0,-7.84,866.53,45.11,0.27 
